emp_no,first_name,second_name,birth_date,wage,hire_date
1,Jordan,Morgan,1981-12-16,41953.32,2020-11-03
2,Andrew,Patel,1983-02-26,68035.18,2018-06-26
3,Victoria,Mitchell,1999-10-01,86597.68,2020-04-24
4,Jeffrey,Pitts,1998-05-05,48888.32,2019-09-23
5,Breanna,Donaldson,1990-06-02,59732.28,2021-08-26
6,Sharon,Miller,1979-01-29,20573.85,2019-02-04
7,Jennifer,Martinez,1985-09-09,92099.67,2021-08-23
8,Anna,Garcia,1986-09-08,38344.57,2020-11-19
9,Steven,Cunningham,1981-11-23,14942.95,2021-07-31
10,Martha,Robinson,1979-12-05,2921.65,2021-11-01
11,Philip,Hernandez,1989-03-13,27110.53,2018-07-09
12,Misty,Petty,1996-06-11,74765.67,2018-04-14
13,James,Martin,1977-10-17,47046.9,2021-07-05
14,Amanda,Roberts,1989-09-13,17247.31,2021-09-26
15,Steven,Sanchez,1995-07-09,80176.55,2018-01-14
16,Kelly,Gonzalez,1982-07-10,60219.34,2018-03-20
17,Daniel,Cordova,1977-03-29,27051.72,2020-02-11
18,Maria,Holloway,1994-12-19,80834.27,2021-08-01
19,Carolyn,Mack,1982-08-10,74688.21,2020-05-02
20,Ana,Pacheco,1983-09-05,4803.81,2018-09-13
21,Crystal,Reese,1990-01-13,87523.09,2021-01-14
22,Michael,Carpenter,1988-10-28,35258.19,2020-09-29
23,Jessica,Lopez,1999-03-06,75652.49,2019-04-17
24,Monica,Arias,1979-10-02,43877.66,2021-10-17
25,Tyler,Baker,1999-11-17,98100.62,2018-04-16
26,Kelly,Brown,2000-02-24,59649.45,2020-11-28
27,David,Wade,1993-11-06,95171.28,2020-01-07
28,William,Green,1997-06-04,49308.91,2018-04-21
29,Cole,Francis,1997-01-10,90873.62,2020-04-26
30,Gregory,Santos,1999-01-21,17338.03,2020-02-11
31,Christopher,Kirby,1988-03-07,23665.48,2019-12-29
32,Juan,Johnson,1979-04-22,68802.13,2020-07-31
33,Kristen,Schmidt,1982-10-05,23496.32,2018-08-08
34,Melissa,Savage,1998-03-14,96628.38,2020-10-30
35,Hannah,Lopez,1985-02-03,25665.96,2020-01-17
36,Gregory,Sharp,1978-03-02,97136.12,2020-07-27
37,Kimberly,Ho,1997-12-21,64972.4,2021-08-17
38,Susan,Clark,1977-03-24,73409.69,2018-12-26
39,Edward,Kim,1982-10-10,87928.5,2021-08-17
40,Julie,Wallace,1979-06-04,65726.82,2019-03-07
41,Samantha,Crawford,1998-03-29,10179.99,2020-02-22
42,Shelley,Smith,2000-02-06,76309.28,2021-02-20
43,Alexander,Herrera,1979-02-17,11886.91,2018-05-02
44,Donald,Moore,1991-03-31,85573.13,2020-02-01
45,Rachel,Gates,1995-03-07,84658.72,2019-05-15
46,Blake,Lewis,1987-11-28,78846.42,2020-02-12
47,Catherine,Downs,1981-07-18,57127.44,2020-03-18
48,Renee,Smith,1984-03-04,90837.65,2018-01-31
49,Eric,Nash,1989-05-18,21754.07,2019-10-11
50,Linda,Kirby,1978-08-06,64903.14,2018-11-02
51,Robert,Schroeder,2000-03-27,1277.65,2019-10-18
52,Kristin,Jenkins,1981-01-16,91623.87,2018-03-12
53,Randy,Brown,1981-01-02,4105.43,2019-04-19
54,Gary,Rogers,1998-01-19,87385.37,2019-03-01
55,Derek,Kemp,1996-01-20,50953.17,2021-10-28
56,Linda,Shepherd,1984-08-20,65390.95,2019-07-10
